,Sentence,Usage,Idiom,BetweenPOS,NumOfWordsBetween,PrePOS,prePOS2,postPOS,postPOS2,CountOfSameNounInContext,SentenceLength,SentimentsAVG
42,when i can not hold it any longer i blow the smoke into he mouth,L,blow_smoke,['AT0'],1,PNP,AV0,PRP,DPS,1,15,0.4221666666666666
43,he give i another burn and he have one for himself blow the smoke back into i mouth afterwards,L,blow_smoke,['AT0'],1,PNX,PRP,AVP,PRP,1,19,0.26209999999999994
44,and he blow the smoke back into i mouth,L,blow_smoke,['AT0'],1,PNP,CJC,AVP,PRP,1,9,0.341
45,the novelty be in the clean and smiling way he say they blow out gray smoke ring at the same time,L,blow_smoke,"['AVP', 'AJ0']",2,PNP,VVD,VVZ-NN2,PRP,1,21,0.289
46,then we spend five minute blow cigar smoke at each other until stok say lenin do not smoke hate flower never have a soft chair in he office have only the simple food like read turgenev and always have he watch fifteen minute slow,L,blow_smoke,['NN1'],1,NN2,CRD,PRP,DT0,2,44,0.010714285714285688
47,she blow smoke at i,L,blow_smoke,[],0,PNP,,PRP,PNP,1,5,-0.475
48,he blow smoke at i,L,blow_smoke,[],0,PNP,,PRP,PNP,1,5,-0.475
49,she blow smoke in a pale blue stream through rounded lip,L,blow_smoke,[],0,PNP,,PRP,AT0,1,11,0.055555555555555566
50,she blow smoke out cough and hand he the cigarette and he take it without a word,L,blow_smoke,[],0,PNP,,AVP,VVD-VVN,1,17,-0.08849999999999998
51,he blow cigarette smoke irritably across the room,L,blow_smoke,['NN1'],1,PNP,,AV0,PRP,1,8,-0.1445
52,he have make a cigarette and now he light it look at braden as he blow the smoke up in the air,L,blow_smoke,['AT0'],1,PNP,CJS,AVP,PRP,1,22,0.3145833333333334
53,obviously not all shaman practice be applicable in the modern world one procedure involve blow tobacco smoke over a sick person because it be believe to have magical healing power i can not see that sell too well today,L,blow_smoke,['NN1'],1,VVD,NN1,PRP-AVP,AT0,1,39,0.28253846153846157
54,shelley blow smoke in she dog 's face,L,blow_smoke,[],0,NP0,,PRP,DPS,1,8,0.15220000000000003
55,who know you may never blow you top in a traffic jam again,I,blow_top,['DPS'],1,AV0,VM0,PRP,AT0,1,13,-0.19399999999999998
56,not for nothing be he know as windy when upset he really do blow he top but he bark be bad than he bite he be an excellent teacher and take both standard six and seven,I,blow_top,['DPS'],1,VDD,AV0,CJC,DPS,1,36,0.10733333333333334
57,it be the first time in year that i have blow i top in such a way and i vow that it would never happen again that i would save all i aggression for the track,I,blow_top,['DPS'],1,VHD,PNP,PRP,DT0,1,36,0.1927894736842105
58,he have be know to blow he top after a child in the room have pass wind make no allowance for the age of the boy a four-year old and the fact of he parent be guest,I,blow_top,['DPS'],1,TO0,VVN,CJS,AT0,1,37,0.526923076923077
59,the mist would blow off the top of the,L,blow_top,"['PRP-AVP', 'AT0']",2,VM0,NN1,PRF,AT0,1,9,0.278625
60,he blow the top of he tea and sip it,L,blow_top,['AT0'],1,PNP,,PRF,DPS,1,10,0.3428333333333333
61,crosby have maintain he dignity despite a constant catalogue of name link with the post a catalogue of name have be link with the job in the past but crosby blow he top after learning of the coppell approach,I,blow_top,['DPS'],1,NP0,CJC,PRP-CJS,NN1,1,39,0.5484347826086957
62,crosby blow he top after learning of the coppell link and say yesterday i be angry and upset to read somebody connect with the club have be in contact with steve coppell,I,blow_top,['DPS'],1,NP0,,PRP-CJS,NN1,1,32,0.2459444444444444
63,manager crosby want a meeting with chairman bob murray this weekend after blow he top over claim that crystal palace boss steve coppell have be approach about he job,I,blow_top,['DPS'],1,PRP,NN1,PRP-AVP,NN2-VVZ,1,29,0.29442857142857143
64,while kenny be the quiet man before and during a match graeme be more volatile and likely to blow he top if he demand be not meet,I,blow_top,['DPS'],1,TO0,AJ0,CJS,DPS,1,27,0.30018181818181816
65,two year later raft blow he top at peter lorre during a scene in background to danger in which lorre and sydney greenstreet tie raft up,I,blow_top,['DPS'],1,NN1,AV0,PRP,NP0,1,26,0.0576923076923077
66,sinatra blow he top and accuse both lawford of cover up what he see as a vendetta be wage by bobby against he,I,blow_top,['DPS'],1,NP0-NN1,,CJC,VVD,1,23,0.27359999999999995
67,i used to get so angry on the set that one day i just blow i top and hit john huston,I,blow_top,['DPS'],1,AV0,PNP,CJC,VVD,1,21,0.0991818181818182
68,what with the heat the fiddly bit and then he i be ready to blow i top,I,blow_top,['DPS'],1,TO0,AJ0,,,2,17,0.29644444444444445
69,jenkinson blow he top after miss a penalty at plymouth on friday night,I,blow_top,['DPS'],1,NP0-NN1,,PRP,VVG,1,13,-0.26266666666666666
70,angry city boss peter reid blow he top at send off striker niall quinn,I,blow_top,['DPS'],1,NP0,NP0,PRP,VVN-VVD,1,14,-0.19057142857142859
71,linford blow he top in relay bust-up,I,blow_top,['DPS'],1,NN1-NP0,,PRP,NN1,1,7,0.04733333333333334
72,linford christie blow he top at he sleeping partner yesterday and then blast they to the chance of an olympic medal,I,blow_top,['DPS'],1,NP0,NP0,PRP,DPS,1,21,0.27890909090909094
73,it be this beautiful lady that blow she top in 1450 bc with four time the explosively destructive power of krakatoa,L,blow_top,['DPS'],1,CJT,NN1,PRP,CRD,1,21,0.3783
74,it be unusual for hauser to blow he top,I,blow_top,['DPS'],1,TO0,NP0,,,1,9,0.1724
75,if you blow you top they will nick you double quick,I,blow_top,['DPS'],1,PNP,CJS,PNP,VM0,1,11,0.0298
76,more like a volcano erupt than a steam engine blow it top nick always say but he be touchy about it because it make he sick the first time,L,blow_top,['DPS'],1,NN1,NN1,NP0,AV0,1,29,0.04257142857142858
77,whereupon he blow he top and declare well i will not make the announcement but i will never talk to you again,I,blow_top,['DPS'],1,PNP,CJS,CJC,VVD,1,22,0.3296
78,whether the ipswich director who watch he blow he top with the unwitting journalist believe that be debatable,I,blow_top,['DPS'],1,PNP,VVD,PRP,AT0,1,18,0.2768
79,when she smile that big smile with she slightly too big mouth and too many very white tooth it be as if the explosion be start to blow the top of she head off,L,blow_top,['AT0'],1,TO0,VVG,PRF,DPS,1,34,0.19135
80,it have i roll on the floor to see schmeichel blow he top at the scum defence,I,blow_top,['DPS'],1,NP0,VVI,PRP,AT0,1,17,0.25127272727272726
81,sorry i blow i top but i have vision of find you down there on the rock like the first time,I,blow_top,['DPS'],1,PNP,AJ0,CJC,PNP,1,21,0.2516923076923077
82,striker slaven blow he top after be axe from the side which grab a draw at bristol city in midweek,I,blow_top,['DPS'],1,NP0,NN1,PRP,VBG,1,20,0.13018181818181818
83,unashamedly blow he own trumpet he also consider that many of the people he select for management role in esso be do a good job than the people before they,I,blow_trumpet,"['DPS', 'DT0']",2,AV0,,PNP,AV0,1,30,0.4393333333333334
84,i be not terribly good at blow i own trumpet though,Q,blow_trumpet,"['DPS', 'DT0']",2,PRP,AJ0,AV0,,1,11,0.19380000000000003
85,there be nothing leave either in womanpower or fund to devote to blow we own trumpet so we have be unable to impress you with the extent and importance of we work,I,blow_trumpet,"['DPS', 'DT0']",2,PRP,VVI,CJS,PNP,1,32,0.362421052631579
86,when call upon to tell we of the exemplary condition in he new factory at bournville mr cadbury he look bely he year and status refuse to blow he own trumpet and blushingly decline to speak,I,blow_trumpet,"['DPS', 'DT0']",2,TO0,VVD-VVN,CJC,AV0,1,36,0.19386956521739132
87,if the trumpet of britain have not be blow loud and long from st mary 's a different myth would have grow give all the credit to america,Q,blow_trumpet,"['AV0-AJ0', 'CJC', 'AV0-AJ0', 'PRP', 'NP0', 'NP0', 'POS', 'AT0', 'AJ0', 'NN1', 'VM0', 'VHI', 'VVN', 'VVG', 'DT0', 'AT0', 'NN1', 'PRP']",18,VBN,XX0,,,1,28,0.3139411764705882
88,the referee blow a toy trumpet and harry payne give the golf club a mighty hit with he bat break the shaft in two,L,blow_trumpet,"['AT0', 'NN1-AJ0']",2,NN1,AT0,CJC,NP0,1,24,0.2604117647058824
89,i do not like to blow i own trumpet but i good half could eat it to a band play,Q,blow_trumpet,"['DPS', 'DT0']",2,TO0,VVI,CJC,DPS,1,20,0.46672727272727277
90,he offend the king in some way and be summarily hang appear since as a shaggy man wear a great set of stag 's horn and blow a trumpet,L,blow_trumpet,['AT0'],1,CJC,NN2,,,1,29,0.1691764705882353
91,kirsty milne wish that the bbc art department would blow it own trumpet,I,blow_trumpet,"['DPS', 'DT0']",2,VM0,NN1,,,1,13,0.4121428571428571
92,but if the watchman see the sword come and do not blow the trumpet to warn the people,L,blow_trumpet,['AT0'],1,XX0,VDZ,TO0,VVI,1,18,0.5566153846153846
93,for too long we christian have hear the modern world blow it own trumpet,I,blow_trumpet,"['DPS', 'DT0']",2,NN1,AJ0,,,1,14,0.49190909090909085
94,next morning the trumpet be blow at the north gate and the knight marischal 's banner hoist with shouted demand for king edward to appear,L,blow_trumpet,"['PRP', 'AT0', 'NN1', 'NN1', 'CJC', 'AT0', 'NP0', 'NP0', 'POS', 'NN1', 'VVD-VVN', 'PRP', 'AJ0', 'NN2', 'PRP', 'NP0', 'NP0', 'TO0']",18,VBD,NN2,,,1,25,0.44535294117647056
95,and we will blow we own trumpet somewhere else and sometime else,I,blow_trumpet,"['DPS', 'DT0']",2,VM0,PNP,AV0,AV0,1,12,0.5304
96,a band in gold-braided uniform blow long brass trumpet,L,blow_trumpet,"['AJ0', 'NN1']",2,NN2,AJ0,,,1,9,0.3032857142857143
97,the unit which do all of the firm 's unix port work will start to blow it own trumpet in the new year when the late workflow automation technique in it client/server and unix software will be on parade,I,blow_trumpet,"['DPS', 'DT0']",2,TO0,VVI,PRP,AT0,1,39,0.27825
98,however by the end of july pyramid will be blow it own trumpet again announce the top-end system which olivetti have already show with a maximum 24 r3000 processor two on each board as the es server line ux no 386,I,blow_trumpet,"['DPS', 'DT0']",2,VBI,VM0,AV0,VVG,1,41,0.4206363636363637
99,cj do not need to blow he own trumpet,Q,blow_trumpet,"['DPS', 'DT0']",2,TO0,VVI,,,1,9,0.5731666666666667
100,blow you own trumpet be not a very british thing to do so we will have to blame it on we germanic streak but gtf really be incredibly efficient,I,blow_trumpet,"['DPS', 'DT0']",2,,AV0,VBZ,XX0,1,29,0.1837692307692308
101,merseyside can not blow a national trumpet,I,blow_trumpet,"['AT0', 'AJ0']",2,XX0,VM0,,,1,7,0.29133333333333333
102,i hope by share the struggle and vision of the people in both world that more people will be inspire to blow the trumpet which will one day sound the tune for the march of humanity into progress,Q,blow_trumpet,['AT0'],1,TO0,VVN,DTQ,VM0,1,38,0.5092692307692308
103,then the white rabbit blow he trumpet three time and call out first witness,L,blow_trumpet,['DPS'],1,NN1,AJ0,CRD,NN2,1,14,0.14545454545454548
104,while we be promote i own show and blow i own trumpet er this afternoon jenny be on for i for i this afternoon,I,blow_trumpet,"['DPS', 'DT0']",2,CJC,NN1,UNC,DT0,1,24,0.15790909090909092
105,we have often meet people like that who blow they trumpet er pretend they be somebody else,I,blow_trumpet,['DPS'],1,PNQ,DT0,UNC,VVG,1,17,0.20733333333333334
106,most be reluctant defensive or simply hesitant to blow they own trumpet,Q,blow_trumpet,"['DPS', 'DT0']",2,TO0,AJ0,,,1,12,0.10687500000000003
107,it be for this reason i have go against i initial instinct not to blow we own trumpet on this at the risk of provoke more bad loser comment from certain people and let i stress i do not mean the runners-up communicate to i,I,blow_trumpet,"['DPS', 'DT0']",2,TO0,XX0,PRP,DT0,1,45,0.23788888888888893
108,come on she do not need you to blow she trumpet,Q,blow_trumpet,['DPS'],1,TO0,PNP,,,1,11,0.5656666666666667
109,oh well scornfully if it be just so you can blow you own trumpet,Q,blow_trumpet,"['DPS', 'DT0']",2,VM0,PNP,,,1,14,0.26671428571428574
110,well i think you know i be a naturally optimistic sort of person and i i be not er sort of blow i own trumpet here i i i erm look on life with a great deal of optimism er touch wood i have be fairly lucky in i life,I,blow_trumpet,"['DPS', 'DT0']",2,PRF,NN1,AV0,PNP,1,50,0.5051153846153845
111,garland in the telegraph have draw a cartoon of a kilted bare-arsed robertson blow he trumpet circle a walled city full of obvious tory labelled jericho,L,blow_trumpet,['DPS'],1,NP0,NN1-AJ0,VVG,AT0,1,26,0.44033333333333335
112,once the vote on europe have be take an overwhelming majority in favour of the platform 's motion he have slip out of the hall pause only to watch and listen while at the bidding of the camera the national chairman of the ycs blow he trumpet for the umpteenth time,I,blow_trumpet,['DPS'],1,NP0,AT0,PRP,AT0,1,51,0.5111081081081081
113,the setting for crawford 's second child 's film foundation production blow you own trumpet be a northern mining town and feature peter butterworth well know for he appearance in child 's television programme,Q,blow_trumpet,"['DPS', 'DT0']",2,NN1,NN1,VBD,AT0,1,34,0.370952380952381
114,an angel hover over they head blow a yellow trumpet,L,blow_trumpet,"['AT0', 'AJ0']",2,NN2,DPS,,,2,10,0.12485714285714286
115,the gold letter m o r s encircle the globe and ultimate judgement be depict in the heaven above where angel blow the last trumpet and christ reign in glory,L,blow_trumpet,"['AT0', 'ORD']",2,NN2,CJS-AVQ,CJC,NP0,1,30,0.5011428571428572
116,blow a trumpet very loudly,L,blow_trumpet,['AT0'],1,,AV0,AV0,AV0,1,5,-0.19225
117,captain fantastic do very well she agree she tone a little weary because the young man have not only spend every minute of the previous evening blow he own trumpet but much of they journey today too,Q,blow_trumpet,"['DPS', 'DT0']",2,NN1,AJ0,CJC,DT0,1,37,0.38673076923076916
118,pipe band blow it own trumpet,Q,blow_trumpet,"['DPS', 'DT0']",2,NN1,NN1-VVB,,,1,6,0.3748
119,despite a unique record of achievement be recent year he can never be accuse of blow he own trumpet,I,blow_trumpet,"['DPS', 'DT0']",2,PRF,VVN,,,1,19,0.30033333333333334
120,but even the treasury be reluctant to blow a trumpet yesterday because the upturn come entirely from a leap of 6.3 per cent in oil and gas output,I,blow_trumpet,['AT0'],1,TO0,AJ0,AV0,CJS,1,28,0.3076470588235294
121,wendy picton can go one good than blow she own trumpet,I,blow_trumpet,"['DPS', 'DT0']",2,CJS,AJC,,,1,11,0.3001666666666667
122,though not one to blow he own trumpet 24-year-old lee rigg be delighted to be award one of the top brass band honour in britain in december,I,blow_trumpet,"['DPS', 'DT0']",2,TO0,PNI,AJ0,NP0,1,27,0.34459999999999996
123,be you go to blow the whistle on the whole lot i mean the university people as well,I,blow_whistle,['AT0'],1,TO0,VVG,PRP,AT0,1,18,0.5761538461538461
124,occasionally one feel as a teacher rather like a soccer referee who have blow he whistle for the kick-off find the player disconcertingly reluctant to make a move and be reduce to dribble the ball himself furiously from end to end score brilliant goal in undefended net while the motionless player look curiously on,L,blow_whistle,['DPS'],1,VHG,PNQ,PRP,AT0,1,54,0.10255263157894737
125,however a shocked danish bureaucrat blow the whistle on mr hocke as that refugee education fund be only supposed to be for mr hartling and not any old non-danish high commissioner,I,blow_whistle,['AT0'],1,NN1,AJ0,PRP,NP0,1,31,0.1320833333333333
126,someone blow a whistle and this train start rumble like it be get ready to drive off,L,blow_whistle,['AT0'],1,PNI,,CJC,DT0,1,17,0.1911
127,suddenly he jump high in the air referee steve griffith signal that the kick be good blow he whistle for time and that be that,L,blow_whistle,['DPS'],1,AJ0,VBD,PRP,NN1,1,25,0.2756666666666667
128,the referee be report to have blow the final whistle outside he dressing-room door,L,blow_whistle,"['AT0', 'AJ0']",2,VHI,TO0,PRP,DPS,1,14,0.08045454545454546
129,he blow a whistle and a group of man march down the path with precision and stand silently on the shoreline,L,blow_whistle,['AT0'],1,PNP,,CJC,AT0,1,21,0.17153846153846153
130,such whistle be blow only during war to offer the warrior supernatural protection,L,blow_whistle,"['AV0', 'PRP', 'NN1', 'TO0', 'VVI', 'AT0', 'NN1', 'AJ0']",8,VBD,NN2,,,2,13,0.14500000000000002
131,quick blow you whistle,L,blow_whistle,['DPS'],1,AJ0-AV0,,,,1,4,-0.0016666666666666728
132,there be even self-appointed morality patrol recruit from the rank of the born-again christian who would blow the whistle on indecency on the beach,I,blow_whistle,['AT0'],1,VM0,PNQ,PRP,NN1,1,24,0.477357142857143
133,it be the phone-call that blow the whistle on one of scottish football 's big blow out a night of post-match revelry which will be warmly remember as five go mad in denmark,I,blow_whistle,['AT0'],1,CJT,NN1-AJ0,PRP,CRD,1,33,0.2032
134,i blow i whistle,L,blow_whistle,['DPS'],1,PNP,,,,1,4,-0.07500000000000001
135,it be no use blow a whistle ask for help if you know the policeman be a couple of mile away,L,blow_whistle,['AT0'],1,NN1-VVB,AT0,VVG,PRP,2,21,0.24353846153846156
136,i blow i whistle till i blow the pea out of it,L,blow_whistle,['DPS'],1,PNP,,CJS,PNP,1,12,0.12914285714285714
137,it could spot border violation and blow the whistle on breach of cease-fire agreement,I,blow_whistle,['AT0'],1,CJC,NN2,PRP,NN2,1,14,0.13188888888888886
138,the person organize the party can come dress as a referee and in game such as bus stop p.41 where instruction be give blow a whistle to attract attention for the various instruction,L,blow_whistle,['AT0'],1,VVN,VBB,TO0,VVI,1,33,0.174
139,then explain the rule of the game which be that when a whistle be blow the child leave they seat to go on a bus ride,L,blow_whistle,"['AT0', 'NN2', 'VVB', 'DPS', 'NN2', 'TO0', 'VVI', 'PRP-AVP', 'AT0', 'NN1']",10,VBZ,NN1,,,1,26,0.344625
140,the umpire blow he whistle,L,blow_whistle,['DPS'],1,NN1,AT0,,,1,5,-0.03375
141,he might as well have be blow a dog whistle for all we hear of he wasted energy,L,blow_whistle,"['AT0', 'NN1']",2,VBN,VHI,PRP,DT0,1,18,0.08918181818181818
142,michael meacher mp on the threat to people who blow the whistle on they employee,I,blow_whistle,['AT0'],1,PNQ,NN0,PRP,DPS,1,15,0.31300000000000006
143,censorship shut up or get out michael meacher mp report on the growing threat to people who blow the whistle on they employer,I,blow_whistle,['AT0'],1,PNQ,NN0,PRP,DPS,1,23,0.013533333333333357
144,one recent example be vaughan mitchell an oil rig welder who blow the whistle on safety violation by he drilling company on a north sea oil rig two month after the piper alpha disaster,I,blow_whistle,['AT0'],1,PNQ,NN1,PRP,NN1,1,34,0.08190476190476192
145,however if player then attempt to hold the ball within the maul the whistle will be blow,L,blow_whistle,[],0,VBI,VM0,,,1,17,0.4548333333333334
146,he be shoot in cold blood because he know too much and be about to blow the whistle a detective say,I,blow_whistle,['AT0'],1,TO0,AVP,AT0,NN1,1,21,0.21841666666666668
147,geoffrey turner the sfa 's director of membership and regulatory service tell accountancy lord justice bingham in he bcci report recommend that a statutory compulsion be place on auditor of bank to blow the whistle to the regulator,I,blow_whistle,['AT0'],1,TO0,NN2,PRP,AT0,1,38,0.23896
148,suddenly an officer blow a whistle and the vigilantee be overpower arrest and bring to the army base on church road,L,blow_whistle,['AT0'],1,NN1,AT0,CJC,AT0,1,21,0.1491428571428572
149,the film in progress when i arrive show a football match between a team of nun and a team of soldier and every time the referee blow he whistle for a penalty which be every few second the player concerned have to lose a garment,L,blow_whistle,['DPS'],1,NN1,AT0,PRP,AT0,1,45,0.17575757575757575
150,a few people be on the platform the station staff busy themselves with mail bag and other item of luggage and parcel at last the guard blow he whistle,L,blow_whistle,['DPS'],1,NN1,AT0,,,1,29,0.16011111111111115
151,mr wishart hurry off to the refreshment room luckily get serve straight away and with difficulty get back to the compartment just as the guard be blow he whistle the old lady take one of the paper cup of tea and murmur she thanks,L,blow_whistle,['DPS'],1,VBD,NN1,AT0,AJ0,1,44,0.2656285714285715
152,the guard blow he whistle mr wishart climb back into the compartment and sit down,L,blow_whistle,['DPS'],1,NN1,AT0,NP0,NP0,1,15,0.2571
153,and someone in the interior ministry might blow the whistle on you,I,blow_whistle,['AT0'],1,VM0,NN1,PRP,PNP,1,12,0.384
154,mother play the piano sister hazel dance father blow the swanee whistle and i do recitation,L,blow_whistle,"['AT0', 'NN1-NP0']",2,NN1,VVD,CJC,PNP,1,16,0.29058333333333336
155,with continual borrowing over two year the bank have blow the whistle,I,blow_whistle,['AT0'],1,VHD,NN1,,,1,12,0.011272727272727287
156,after lamb have blow the whistle on the pakistani dexter seem to want to wash he hand of anything lamb be do suggest that the northants captain 's forthright comment would not just end with a fine and a suspension from he county boss,I,blow_whistle,['AT0'],1,VHD,NP0,PRP,AT0,1,44,0.42155999999999993
157,david have a very good game at leeds apart from not apply the golden rule of play until the ref blow he whistle,L,blow_whistle,['DPS'],1,NN1,AT0,,,1,23,0.24614285714285714
158,the reason be simple the queen prince andrew prince charles and a very nervous prince edward be petrified she will blow the whistle on they in print,I,blow_whistle,['AT0'],1,VM0,PNP,PRP,PNP,2,27,0.26746666666666674
159,the whistle be blow on chelsea fan mellor 's game,Q,blow_whistle,"['PRP', 'NP0', 'VVB-NN1', 'NP0', 'POS']",5,VBD,NN1,,,1,10,0.1368
160,anyone who try to blow the whistle on the violence be intimidate or threaten,I,blow_whistle,['AT0'],1,TO0,VVD,PRP,AT0,1,14,-0.01077777777777775
161,no sooner have derek bevan blow the final whistle at twickenham than faint noise could be hear from over the horizon,L,blow_whistle,"['AT0', 'AJ0']",2,NP0-NN1,NP0,PRP,NP0,1,21,0.30727272727272725
162,a it be not over 'til the ref blow he whistle,L,blow_whistle,['DPS'],1,NN1,AT0,,,1,11,0.20075
163,he enter a second-class compartment moment before the guard wave he flag and blow he whistle,L,blow_whistle,['DPS'],1,CJC,NN1,,,1,16,0.10859999999999996
164,a shame ocean do not blow the whistle on it,Q,blow_whistle,['AT0'],1,XX0,VDD,PRP,PNP,1,10,0.24733333333333332
