,SentencePre,Sentence,SentencePost,Idiom,Usage
86,not everyone manage to overcome they inhibition,when call upon to tell we of the exemplary condition in he new factory at bournville mr cadbury he look bely he year and status refuse to blow he own trumpet and blushingly decline to speak,but all the child i question afterwards be emphatic that they would like to repeat the experience,blow_trumpet,I
87,all the early supply of penicillin which come to the public be manufacture in america and in america at least it be natural to assume that penicillin be an american discovery,if the trumpet of britain have not be blow loud and long from st mary 's a different myth would have grow give all the credit to america,there be plenty of substance for such an idea,blow_trumpet,Q
88,mr. harry payne captain the other side and instead of a normal kick-off the two gentleman bully off in hockey fashion mr. gordon with a wooden-shafted golf club he opponent with a cricket bat,the referee blow a toy trumpet and harry payne give the golf club a mighty hit with he bat break the shaft in two,mr. gordon stump off the field hold the two piece of broken club and give vent to language ill-befitting the lay-reader son of a clergyman i good bloody driver i good bloody driver,blow_trumpet,L
89,i will well away and get i black bun out the oven,i do not like to blow i own trumpet but i good half could eat it to a band play,i like it i like it alright but do it like i that be the trouble,blow_trumpet,Q
90,tradition have it that he be one of king henry viii 's forest warden,he offend the king in some way and be summarily hang appear since as a shaggy man wear a great set of stag 's horn and blow a trumpet,shakespeare describe he appearance in the merry wife of windsor,blow_trumpet,L
91,television,kirsty milne wish that the bbc art department would blow it own trumpet,book 37,blow_trumpet,I
92,judge 2 v 13â€“14,but if the watchman see the sword come and do not blow the trumpet to warn the people,i will hold the watchman accountable ezekiel 33 v 6,blow_trumpet,L
93,but we must beware of cynicism,for too long we christian have hear the modern world blow it own trumpet,yes it be true that much have be gain but we need to understand from the perspective of pre-modern rural england some of the thing that have be lose,blow_trumpet,I
94,the point about he vulnerability over he son be not mention specifically but they learn that in fact that youth be not the only hostage for edward have subsequently demand that a selection of the citizenry be yield up also including some mere child,next morning the trumpet be blow at the north gate and the knight marischal 's banner hoist with shouted demand for king edward to appear,that monarch be undoubtedly comfortably ensconce up in berwick castle but after some delay the earl of salisbury do arrive with herald and be inform that he could advance safely to near the walling,blow_trumpet,L
95,we have be together now for 40 year and,and we will blow we own trumpet somewhere else and sometime else,we think we be ace and so do you it appear,blow_trumpet,I
96,several hundred loyal trooper stand to attention,a band in gold-braided uniform blow long brass trumpet,lesser lords and bodyguard throng two review stand,blow_trumpet,L
97,only seven position will be lose in the uk and the 235-strong bristol-based operation say it will break out it year-end figure from overall dun & bradstreet software number for the first time on december 11,the unit which do all of the firm 's unix port work will start to blow it own trumpet in the new year when the late workflow automation technique in it client/server and unix software will be on parade,d&b software come into be in 1990 from the merger of mccormack & dodge and management science america mainframe software rival,blow_trumpet,I
98,pyramid technology corp mountain view california have be take something of a backseat role in tell the world about it new development lately most recently ing c olivetti & co spa be leave to deliver pyramid 's late mips computer system inc-based r3000 and r400mp sibling at it bash in rome a couple of week ago ux no 390,however by the end of july pyramid will be blow it own trumpet again announce the top-end system which olivetti have already show with a maximum 24 r3000 processor two on each board as the es server line ux no 386,the es range effectively double the power of pyramid 's existing top-end miserver which come with up to 12 r3000s,blow_trumpet,I
99,the new zealand story the hit squad 8%,cj do not need to blow he own trumpet,the good original budget game for some time fend off some classy re-release,blow_trumpet,Q
100,and if you want peace and quiet without any crowd we can also tell you when to stay away,blow you own trumpet be not a very british thing to do so we will have to blame it on we germanic streak but gtf really be incredibly efficient,we would even go so far as throw modesty to the wind and say you will not find good value for money holiday or flight anywhere else,blow_trumpet,I
101,they be lucky than say merseyside which can mobilise in defence of the equally or more hard-hit local interest only the memory of the beatles of generation of scouse comedian and the proud tradition of it rival football team while take care to keep away from anything that remind it inhabitant too obviously of the divisive colour orange and green,merseyside can not blow a national trumpet,cornwall can,blow_trumpet,I
102,a system which have the intelligence to acknowledge that people be more than just a bag of bone dress up in a birthday suit and that ill-health be not only cause by biological factor but social political economic and environmental one as well,i hope by share the struggle and vision of the people in both world that more people will be inspire to blow the trumpet which will one day sound the tune for the march of humanity into progress,i own community,blow_trumpet,Q
103,some of the juryman be animal and the other be bird,then the white rabbit blow he trumpet three time and call out first witness,the first witness be the hatter,blow_trumpet,L
104,it be nine sixteen that be gabrielle and dream,while we be promote i own show and blow i own trumpet er this afternoon jenny be on for i for i this afternoon,and er if you call up the program or fax in for whatever reason then you can get yourself a free afternoon pack,blow_trumpet,I
105,to the ancient moralist the allazon be the man who lay claim to possession and to achievement which do not belong to he in order to exalt himself more,we have often meet people like that who blow they trumpet er pretend they be somebody else,the allazon be the braggart,blow_trumpet,I
106,she be also one of the few salvationist to see the need and value of the media,most be reluctant defensive or simply hesitant to blow they own trumpet,eva be more used to make she presence feel,blow_trumpet,Q
107,one of the particular benefit of receive such an accolade as scotmedia magazine 's good scottish business magazine 1993 be that it give the chance to pay tribute to the hard work of the people you see list in the blue panel adjacent to this as well as of the contributor and other instrumental in we success,it be for this reason i have go against i initial instinct not to blow we own trumpet on this at the risk of provoke more bad loser comment from certain people and let i stress i do not mean the runners-up communicate to i,ho-hum i can take it,blow_trumpet,I
108,she be a very beautiful woman,come on she do not need you to blow she trumpet,kate be not at all sure she like hear the cynical cruelty in he voice,blow_trumpet,Q
109,another man might be more unprincipled,oh well scornfully if it be just so you can blow you own trumpet,a restless movement on he part betray that she have provoke he once more but in a different fashion,blow_trumpet,Q
110,i mean when i get up in the morning it take i four hour before i come to you be always so jolly,well i think you know i be a naturally optimistic sort of person and i i be not er sort of blow i own trumpet here i i i erm look on life with a great deal of optimism er touch wood i have be fairly lucky in i life,i have get a job that i love do and er i also take the view that if i come and do this programme and moan away at everybody and er moan away about everything nobody would ring i up and nobody would listen,blow_trumpet,I
111,be this the new face of the tory party ask the mirror,garland in the telegraph have draw a cartoon of a kilted bare-arsed robertson blow he trumpet circle a walled city full of obvious tory labelled jericho,fowler toss the paper on to the floor and go for a shower,blow_trumpet,L
112,charles who be in he late-thirties find celibacy a trial he fancy have be catch by amaranth wilikins,once the vote on europe have be take an overwhelming majority in favour of the platform 's motion he have slip out of the hall pause only to watch and listen while at the bidding of the camera the national chairman of the ycs blow he trumpet for the umpteenth time,the young man be sweat under the light,blow_trumpet,I
113,one critic describe soapbox derby as a polished melodrama add most of the child have be direct to give very real artless performance,the setting for crawford 's second child 's film foundation production blow you own trumpet be a northern mining town and feature peter butterworth well know for he appearance in child 's television programme,he play the kindly old brass-band conductor who resign after rowing with the father of a boy who want to join the colliery band as a cornet player,blow_trumpet,Q
114,gabriel let the sing-song rise and fall of garvey 's voice lull he into a stillness while he eye travel for want of interesting face over the even row of brick clad the manor house and the iron-outlined figure of the saint in the stained-glass chapel window,an angel hover over they head blow a yellow trumpet,the stern slightly pained expression on the saint ' white and pink face seem to reflect fifty year or more of have a brass trumpet sound in they ear,blow_trumpet,L
115,in the hereford world map it be draw as a walled city surmount by the hill of the crucifixion a visual reminder of the central significance of temporal life subject to change and death,the gold letter m o r s encircle the globe and ultimate judgement be depict in the heaven above where angel blow the last trumpet and christ reign in glory,the dual image of christ in eternal glory and christ crucify in time be an icon of christian understanding of the human situation,blow_trumpet,L
116,a baby in a push-chair,blow a trumpet very loudly,xii,blow_trumpet,L
117,i come sixth and gain i first championship point,captain fantastic do very well she agree she tone a little weary because the young man have not only spend every minute of the previous evening blow he own trumpet but much of they journey today too,i do bloody marvellous,blow_trumpet,Q
118,walter love,pipe band blow it own trumpet,an ulster pipe band yesterday become the first band in the united kingdom to win six major competition in a year,blow_trumpet,Q
119,doug blewitt must rank as a contender for the most unsung hero of north-east business,despite a unique record of achievement be recent year he can never be accuse of blow he own trumpet,he late success win a آ£1.8m contract for he dmb contractor to re-paint and refurbish london 's tower bridge be bring to the public 's attention courtesy of the government 's central office of information,blow_trumpet,I
120,output inch up again in the fourth quarter of 1992 for the second quarter running which could be take to mean the recession have formally end,but even the treasury be reluctant to blow a trumpet yesterday because the upturn come entirely from a leap of 6.3 per cent in oil and gas output,excluding oil and gas onshore output fall 0.1 per cent in the fourth quarter extend the recession to ten quarter from the peak in the second quarter of 1990,blow_trumpet,I
121,blow she own euphonium,wendy picton can go one good than blow she own trumpet,she have a euphonium name after she,blow_trumpet,I
122,bandsman join top brass,though not one to blow he own trumpet 24-year-old lee rigg be delighted to be award one of the top brass band honour in britain in december,he be vote bandsman of the year by the famous black dyke mills band the first to have he name inscribe on a new silver trophy,blow_trumpet,I
123,you can not avoid it dear,be you go to blow the whistle on the whole lot i mean the university people as well,i will change a few name but that be about it,blow_whistle,I
124,the reality be often close to that memorably describe by david lodge,occasionally one feel as a teacher rather like a soccer referee who have blow he whistle for the kick-off find the player disconcertingly reluctant to make a move and be reduce to dribble the ball himself furiously from end to end score brilliant goal in undefended net while the motionless player look curiously on,not only should there be equality of esteem and status between critic and reader though the former may appear as first among equal they should all be in possession of the subject of discussion,blow_whistle,L
125,the previous incumbent poul hartling a former danish prime minister be provide with a special fund inside the education budget by the danish government for he to upgrade himself on he international travel,however a shocked danish bureaucrat blow the whistle on mr hocke as that refugee education fund be only supposed to be for mr hartling and not any old non-danish high commissioner,mr hartling 's predecessor prince sadruddin aga khan avoid such pitfall by simply charter private jet and pay for they out of he not inconsiderable private coffer,blow_whistle,I
126,probably stuff about train and that,someone blow a whistle and this train start rumble like it be get ready to drive off,it be pretty smoky the train give off this browny smoke and it do not blow away it just sort of drift up to the roof,blow_whistle,L
127,for a fraction the ball waver in flight davies run a few pace as if in pursuit to help the ball on it way,suddenly he jump high in the air referee steve griffith signal that the kick be good blow he whistle for time and that be that,orrell have lead 9â€“0 at half-time could scarcely believe they eye,blow_whistle,L
128,after wait several minute the linesman and player shake hand and leave the pitch,the referee be report to have blow the final whistle outside he dressing-room door,spain,blow_whistle,L
129,a figure in a brown shirt step out from behind the bush and stoop pick up the leaflet that fred have leave lie on he jacket,he blow a whistle and a group of man march down the path with precision and stand silently on the shoreline,oh christ,blow_whistle,L
130,nez perce warrior 's sacred wing-bone whistle adorn with buckskin carrying-thong and eagle fluffy,such whistle be blow only during war to offer the warrior supernatural protection,chief joseph,blow_whistle,L
131,there he go,quick blow you whistle,bragg push he roughly away,blow_whistle,L
132,there be no grass skirt no bare breast,there be even self-appointed morality patrol recruit from the rank of the born-again christian who would blow the whistle on indecency on the beach,but i be sit on the sand of ke iki at midnight with a fairy-tale princess a botticelli venus whose long blonde tress reflect golden glint from the fire,blow_whistle,I
133,the plucky ms simonsen not accustom to be on the wrong end of a double bacardi take a principled feminist stance complain to the management and insist that the local police be call,it be the phone-call that blow the whistle on one of scottish football 's big blow out a night of post-match revelry which will be warmly remember as five go mad in denmark,accord to police file in copenhagen the five player treat scandinavia to the seamy side of scottish culture,blow_whistle,I
134,mowat go mad lose he cap,i blow i whistle,he have get molloy there on the ground,blow_whistle,L
135,but the only means of communication we have apart from the police telephone box which be far apart be a whistle that do not carry mile,it be no use blow a whistle ask for help if you know the policeman be a couple of mile away,i remember a little kiosk outside allerton cemetery,blow_whistle,L
136,nobody in at cid and i have to get someone to secure it,i blow i whistle till i blow the pea out of it,then i have to go down to the station to get somebody and by the time i come back most of the stuff have go,blow_whistle,L
137,additional close-look equipment could also close in on international crisis and warn of military and guerilla movement,it could spot border violation and blow the whistle on breach of cease-fire agreement,it would have it blind-spot however,blow_whistle,I
138,you can also invent little game such as kick a ball in a bucket or bowl of water,the person organize the party can come dress as a referee and in game such as bus stop p.41 where instruction be give blow a whistle to attract attention for the various instruction,play a video tape of a soccer match during tea,blow_whistle,L
139,arrange chair in a circle with one entrance for the child to go in and out,then explain the rule of the game which be that when a whistle be blow the child leave they seat to go on a bus ride,they walk round the outside of the chair,blow_whistle,L
140,take the fucking man for christ 's sake,the umpire blow he whistle,that will be forty against you for swearing young lady,blow_whistle,L
141,the same thing happen when he pick up he tenor sax lick the end of the mouthpiece and proceed to honk and howl like a man possess,he might as well have be blow a dog whistle for all we hear of he wasted energy,god be good but hamper by the very technology that be supposed to help they get they message across,blow_whistle,L
142,16 shut up or get out,michael meacher mp on the threat to people who blow the whistle on they employee,17 phoney tapping,blow_whistle,I
143,reduce to simile nature be safely on it chain again,censorship shut up or get out michael meacher mp report on the growing threat to people who blow the whistle on they employer,the refusal this week by virginia bottomley the new health secretary to outlaw gag clause in health worker ' contract raise alarm about the climate of fear in british society that go far wide than the nhs,blow_whistle,I
144,there be evidence that the same trend have begin to permeate the private sector,one recent example be vaughan mitchell an oil rig welder who blow the whistle on safety violation by he drilling company on a north sea oil rig two month after the piper alpha disaster,he follow department of energy advice to report he concern to they but receive no protection from they when he company dismiss he,blow_whistle,I
145,as long as the ball be quite clearly see to be on the move through the maul then the ref will not blow even if the maul itself be stationary,however if player then attempt to hold the ball within the maul the whistle will be blow,the potential for a flare-up under the new law be obvious,blow_whistle,L
146,carr be secretary of the company which later collapse amid allegation of fraud,he be shoot in cold blood because he know too much and be about to blow the whistle a detective say,he widow sheila say last night she have hope and pray she missing husband would be find alive,blow_whistle,I
147,although it be not compulsory for auditor to do so the sfa believe that they will want to provide feedback on audit that they have complete,geoffrey turner the sfa 's director of membership and regulatory service tell accountancy lord justice bingham in he bcci report recommend that a statutory compulsion be place on auditor of bank to blow the whistle to the regulator,we solution to the similar situation in the security industry be a practical self-regulatory cooperative one,blow_whistle,I
148,the marine chat with the vigilantee for a time and exchange cigarette with they,suddenly an officer blow a whistle and the vigilantee be overpower arrest and bring to the army base on church road,in the morning they be release,blow_whistle,L
149,there be a bar at the entrance where one pay a few mark for a drink and behind a curtain an auditorium of perhaps twenty or thirty comfortable seat,the film in progress when i arrive show a football match between a team of nun and a team of soldier and every time the referee blow he whistle for a penalty which be every few second the player concerned have to lose a garment,before long football have give way to a different sport and a surreal bosch-like survey of the entire field show all kind of what i mother call hanky-panky in full swing,blow_whistle,L
