,Usage,Idiom,SenenceNo,Location,Sentence,SentenceBefore,SentenceAfter
10,L,blow_smoke,199,C/CE/CEM,"[('As', 'CONJ'), ('pungent', 'ADJ'), ('smoke', 'SUBST'), ('was', 'VERB'), ('blown', 'VERB'), ('into', 'PREP'), ('her', 'PRON'), ('face', 'SUBST'), (',', 'PUN'), ('Diana', 'SUBST'), (""'s"", 'UNC'), ('eyes', 'SUBST'), ('went', 'VERB'), ('red', 'ADJ'), ('and', 'CONJ'), ('watery', 'ADJ'), ('.', 'PUN')]","[('Charles', 'SUBST'), ('then', 'ADV'), ('dropped', 'VERB'), ('incense', 'SUBST'), ('into', 'PREP'), ('a', 'ART'), ('smoldering', 'ADJ'), ('urn', 'SUBST'), ('in', 'PREP'), ('a', 'ART'), ('traditional', 'ADJ'), ('Korean', 'ADJ'), ('ceremony', 'SUBST'), ('.', 'PUN')]","[('‘', 'PUQ'), ('She', 'PRON'), ('looked', 'VERB'), ('on', 'PREP'), ('the', 'ART'), ('verge', 'SUBST'), ('of', 'PREP'), ('tears', 'SUBST'), (',', 'PUN'), ('’', 'PUQ'), ('said', 'VERB'), ('one', 'ADJ'), ('observer', 'SUBST'), ('.', 'PUN')]"
11,L,blow_smoke,863,C/CG/CG5,"[('NO', 'ART'), ('DRAUGHT', 'ADJ'), ('COWL', 'SUBST'), ('Prevent', 'VERB'), ('downdraught', 'SUBST'), ('from', 'PREP'), ('blowing', 'VERB'), ('smoke', 'VERB'), ('back', 'ADV'), ('into', 'PREP'), ('the', 'ART'), ('room', 'SUBST'), ('with', 'PREP'), ('the', 'ART'), ('new', 'ADJ'), ('Eurocowl', 'SUBST'), ('.', 'PUN')]","[('Exterior', 'ADJ'), ('terminal', 'SUBST'), ('of', 'PREP'), ('balanced', 'ADJ'), ('flue', 'SUBST'), ('appliance', 'SUBST'), (':', 'PUN'), ('4in', 'SUBST'), ('diameter', 'SUBST')]","[('Suitable', 'ADJ'), ('for', 'PREP'), ('all', 'ADJ'), ('solid', 'ADJ'), ('fuels', 'SUBST'), ('and', 'CONJ'), ('gas', 'SUBST'), (',', 'PUN'), ('it', 'PRON'), ('meets', 'VERB'), ('BS', 'SUBST'), ('715', 'ADJ'), ('and', 'CONJ'), ('has', 'VERB'), ('been', 'VERB'), ('certified', 'VERB'), ('by', 'PREP'), ('British', 'ADJ'), ('Gas', 'SUBST')]"
12,Q,blow_smoke,118,C/CH/CH9,"[('This', 'ADJ'), ('one', 'PRON'), ('is', 'VERB'), ('blowing', 'VERB'), ('smoke', 'SUBST'), ('!', 'PUN')]","[('‘', 'PUQ'), ('Mummy', 'SUBST'), ('said', 'VERB'), ('the', 'ART'), ('Spittler', 'SUBST'), ('blows', 'SUBST'), ('smoke', 'VERB'), ('when', 'CONJ'), ('it', 'PRON'), ('chases', 'VERB'), ('you', 'PRON'), ('.', 'PUN')]","[('It', 'PRON'), (""'s"", 'VERB'), ('the', 'ART'), ('Terrible', 'ADJ'), ('Bloodsuckling', 'SUBST'), ('Toothpluckling', 'SUBST'), ('Stonechuckling', 'SUBST'), ('Spittler', 'SUBST'), ('!', 'PUN')]"
13,Q,blow_smoke,260,C/CH/CH9,"[('‘', 'PUQ'), ('Why', 'ADV'), ('does', 'VERB'), ('he', 'PRON'), ('blow', 'VERB'), ('out', 'ADV'), ('all', 'ADJ'), ('that', 'ADJ'), ('smoke', 'SUBST'), ('?', 'PUN'), ('’', 'PUQ')]","[('His', 'PRON'), ('nose', 'SUBST'), ('tells', 'VERB'), ('him', 'PRON'), ('exactly', 'ADV'), ('where', 'ADV'), ('to', 'PREP'), ('go', 'VERB'), ('.', 'PUN'), ('’', 'PUQ')]","[('Little', 'ADV'), ('Billy', 'SUBST'), ('asked', 'VERB'), ('.', 'PUN')]"
14,L,blow_smoke,277,C/CH/CH9,"[('If', 'CONJ'), ('you', 'PRON'), ('are', 'VERB'), ('behind', 'PREP'), ('him', 'PRON'), ('you', 'PRON'), ('can', 'VERB'), ('sometimes', 'ADV'), ('catch', 'VERB'), ('a', 'ART'), ('glimpse', 'SUBST'), ('of', 'PREP'), ('little', 'ADJ'), ('bits', 'SUBST'), ('of', 'PREP'), ('him', 'PRON'), ('because', 'CONJ'), ('all', 'ADJ'), ('the', 'ART'), ('smoke', 'SUBST'), ('is', 'VERB'), ('being', 'VERB'), ('blown', 'VERB'), ('out', 'ADV'), ('in', 'PREP'), ('the', 'ART'), ('front', 'SUBST'), ('.', 'PUN')]","[('‘', 'PUQ'), ('He', 'PRON'), ('makes', 'VERB'), ('so', 'ADV'), ('much', 'ADJ'), ('steam', 'SUBST'), ('and', 'CONJ'), ('smoke', 'VERB'), ('you', 'PRON'), ('can', 'VERB'), ('never', 'ADV'), ('see', 'VERB'), ('him', 'PRON'), ('.', 'PUN')]","[('Some', 'ADJ'), ('Minpins', 'SUBST'), ('say', 'VERB'), ('they', 'PRON'), ('have', 'VERB'), ('seen', 'VERB'), ('his', 'PRON'), ('back', 'ADJ'), ('legs', 'SUBST'), (',', 'PUN'), ('huge', 'ADJ'), ('and', 'CONJ'), ('black', 'ADJ'), ('and', 'CONJ'), ('very', 'ADV'), ('hairy', 'ADJ'), (',', 'PUN'), ('shaped', 'VERB'), ('like', 'PREP'), ('lions', 'SUBST'), (""'"", 'UNC'), ('legs', 'SUBST'), ('but', 'CONJ'), ('ten', 'ADJ'), ('times', 'SUBST'), ('as', 'ADV'), ('big', 'ADJ'), ('.', 'PUN')]"
15,Q,blow_smoke,281,C/CH/CH9,"[('Mind', 'VERB'), ('you', 'PRON'), (',', 'PUN'), ('he', 'PRON'), ('must', 'VERB'), ('have', 'VERB'), ('gigantic', 'ADJ'), ('nose-holes', 'SUBST'), ('to', 'PREP'), ('be', 'VERB'), ('able', 'ADJ'), ('to', 'PREP'), ('blow', 'VERB'), ('out', 'ADV'), ('all', 'ADJ'), ('that', 'ADJ'), ('smoke', 'SUBST'), ('.', 'PUN'), ('’', 'PUQ')]","[('But', 'CONJ'), ('nobody', 'PRON'), ('really', 'ADV'), ('knows', 'VERB'), ('.', 'PUN')]","[('They', 'PRON'), ('stayed', 'VERB'), ('still', 'ADV'), (',', 'PUN'), ('listening', 'VERB'), (',', 'PUN'), ('and', 'CONJ'), ('they', 'PRON'), ('could', 'VERB'), ('hear', 'VERB'), ('the', 'ART'), ('Gruncher', 'SUBST'), ('pawing', 'VERB'), ('the', 'ART'), ('ground', 'SUBST'), ('at', 'PREP'), ('the', 'ART'), ('base', 'SUBST'), ('of', 'PREP'), ('the', 'ART'), ('tree', 'SUBST'), ('with', 'PREP'), ('his', 'PRON'), ('giant', 'ADJ'), ('hooves', 'SUBST'), ('and', 'CONJ'), ('snorting', 'VERB'), ('with', 'PREP'), ('greed', 'SUBST'), ('.', 'PUN')]"
16,L,blow_smoke,964,C/CJ/CJA,"[('Dodger', 'SUBST'), ('sighed', 'VERB'), ('and', 'CONJ'), ('blew', 'VERB'), ('smoke', 'SUBST'), ('all', 'ADV'), ('over', 'PREP'), ('us', 'PRON')]","[('‘', 'PUQ'), ('That', 'ADJ'), (""'s"", 'VERB'), ('right', 'ADJ'), (',', 'PUN'), ('’', 'PUQ'), ('I', 'PRON'), ('said', 'VERB'), ('.', 'PUN')]","[('‘', 'PUQ'), ('So', 'CONJ'), ('you', 'PRON'), (""'re"", 'VERB'), ('going', 'VERB'), ('solo', 'ADV'), ('now', 'ADV'), (',', 'PUN'), ('’', 'PUQ'), ('said', 'VERB'), ('the', 'ART'), ('victim', 'SUBST'), (',', 'PUN'), ('fumbling', 'VERB'), ('for', 'PREP'), ('her', 'PRON'), ('smokes', 'VERB'), ('again', 'ADV'), ('.', 'PUN')]"
17,L,blow_smoke,1410,C/CL/CLD,"[('He', 'PRON'), ('blew', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('to', 'PREP'), ('the', 'ART'), ('ceiling', 'SUBST'), ('.', 'PUN')]","[('The', 'ART'), ('Colonel', 'SUBST'), ('lit', 'VERB'), ('his', 'PRON'), ('cigarette', 'SUBST'), ('.', 'PUN')]","[('‘', 'PUQ'), ('Then', 'ADV'), ('you', 'PRON'), ('have', 'VERB'), ('more', 'ADV'), ('than', 'CONJ'), ('one', 'ADJ'), ('problem', 'SUBST'), (',', 'PUN'), ('Dr', 'SUBST'), ('Tariq', 'SUBST'), ('.', 'PUN'), ('’', 'PUQ')]"
18,L,blow_smoke,1362,C/CL/CLG,"[('If', 'CONJ'), ('you', 'PRON'), ('are', 'VERB'), ('trapped', 'VERB'), ('upstairs', 'ADV'), ('by', 'PREP'), ('a', 'ART'), ('fire', 'SUBST'), (',', 'PUN'), ('get', 'VERB'), ('everyone', 'PRON'), ('into', 'PREP'), ('the', 'ART'), ('‘', 'PUQ'), ('escape', 'SUBST'), ('room', 'SUBST'), ('’', 'PUQ'), (',', 'PUN'), ('close', 'VERB'), ('the', 'ART'), ('door', 'SUBST'), ('and', 'CONJ'), ('block', 'VERB'), ('any', 'ADJ'), ('gaps', 'SUBST'), ('round', 'PREP'), ('it', 'PRON'), ('with', 'PREP'), ('items', 'SUBST'), ('of', 'PREP'), ('clothing', 'SUBST'), ('or', 'CONJ'), ('bedding', 'SUBST'), ('(', 'PUL'), ('dampened', 'VERB'), (',', 'PUN'), ('if', 'CONJ'), ('possible', 'ADJ'), (')', 'PUR'), ('to', 'PREP'), ('keep', 'VERB'), ('smoke', 'VERB'), ('out', 'ADV'), ('.', 'PUN')]","[('Since', 'CONJ'), ('fires', 'SUBST'), ('often', 'ADV'), ('start', 'VERB'), ('at', 'PREP'), ('night', 'SUBST'), (',', 'PUN'), ('and', 'CONJ'), ('most', 'ADJ'), ('homes', 'SUBST'), ('only', 'ADV'), ('have', 'VERB'), ('one', 'ADJ'), ('flight', 'SUBST'), ('of', 'PREP'), ('stairs', 'SUBST'), (',', 'PUN'), ('which', 'PRON'), ('may', 'VERB'), ('well', 'ADV'), ('be', 'VERB'), ('unusable', 'ADJ'), (',', 'PUN'), ('it', 'PRON'), ('pays', 'VERB'), ('to', 'PREP'), ('work', 'VERB'), ('out', 'ADV'), ('in', 'PREP'), ('advance', 'ADJ'), ('possible', 'ADJ'), ('escape', 'SUBST'), ('routes', 'SUBST'), ('from', 'PREP'), ('upstairs', 'SUBST'), ('windows', 'SUBST'), ('—', 'PUN'), ('ideally', 'ADV'), ('one', 'PRON'), ('leading', 'VERB'), ('on', 'ADV'), ('to', 'PREP'), ('a', 'ART'), ('flat', 'ADJ'), ('roof', 'SUBST'), (',', 'PUN'), ('otherwise', 'ADV'), ('one', 'ADJ'), ('with', 'PREP'), ('a', 'ART'), ('flowerbed', 'ADJ'), ('or', 'CONJ'), ('grass', 'SUBST'), ('below', 'ADV'), (',', 'PUN'), ('rather', 'ADV'), ('than', 'CONJ'), ('a', 'ART'), ('hard', 'ADJ'), ('surface', 'SUBST'), ('.', 'PUN')]","[('Then', 'ADV'), ('open', 'VERB'), ('the', 'ART'), ('window', 'SUBST'), ('and', 'CONJ'), ('call', 'VERB'), ('for', 'PREP'), ('help', 'SUBST'), ('.', 'PUN')]"
19,L,blow_smoke,548,C/CR/CR6,"[('He', 'PRON'), ('pulled', 'VERB'), ('deeply', 'ADV'), ('on', 'PREP'), ('the', 'ART'), ('cigarette', 'SUBST'), ('and', 'CONJ'), ('blew', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('into', 'PREP'), ('Tommy', 'SUBST'), (""'s"", 'UNC'), ('face', 'SUBST'), ('.', 'PUN')]","[('Taking', 'VERB'), ('out', 'ADV'), ('his', 'PRON'), ('pack', 'SUBST'), ('of', 'PREP'), ('Strands', 'SUBST'), (',', 'PUN'), ('Michael', 'SUBST'), ('lit', 'VERB'), ('one', 'PRON'), ('slowly', 'ADV'), ('.', 'PUN')]","[('‘', 'PUQ'), ('You', 'PRON'), (""'ve"", 'VERB'), ('made', 'VERB'), ('me', 'PRON'), ('very', 'ADV'), ('cross', 'ADJ'), ('.', 'PUN'), ('’', 'PUQ')]"
20,L,blow_smoke,650,E/EC/ECK,"[('Philpott', 'SUBST'), ('exhaled', 'VERB'), (',', 'PUN'), ('blowing', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('upwards', 'ADV'), ('.', 'PUN')]","[('Where', 'ADV'), ('are', 'VERB'), ('we', 'PRON'), ('going', 'VERB'), ('?', 'PUN'), ('’', 'PUQ')]","[('‘', 'PUQ'), ('Strasbourg', 'SUBST'), ('’', 'PUQ'), ('.', 'PUN')]"
21,L,blow_smoke,1693,E/EE/EEW,"[('‘', 'PUQ'), ('Yes', 'INTERJ'), ('indeed', 'ADV'), (',', 'PUN'), ('’', 'PUQ'), ('Madame', 'SUBST'), ('sighed', 'VERB'), (',', 'PUN'), ('lighting', 'VERB'), ('a', 'ART'), ('fresh', 'ADJ'), ('cigarette', 'SUBST'), ('and', 'CONJ'), ('blowing', 'VERB'), ('the', 'ART'), ('smoke', 'SUBST'), ('out', 'ADV'), ('of', 'PREP'), ('the', 'ART'), ('side', 'SUBST'), ('of', 'PREP'), ('her', 'PRON'), ('mouth', 'SUBST'), (',', 'PUN'), ('‘', 'PUQ'), ('yes', 'INTERJ'), (',', 'PUN'), ('you', 'PRON'), ('did', 'VERB'), ('very', 'ADV'), ('well', 'ADV'), ('indeed', 'ADV'), ('.', 'PUN'), ('’', 'PUQ')]","[('And', 'CONJ'), ('obviously', 'ADV'), ('she', 'PRON'), ('had', 'VERB'), ('done', 'VERB'), ('more', 'ADV'), ('than', 'CONJ'), ('hold', 'VERB'), ('her', 'PRON'), ('own', 'ADJ'), ('.', 'PUN')]","[('‘', 'PUQ'), ('Why', 'ADV'), ('?', 'PUN'), ('’', 'PUQ')]"
